Symbol
AA
AAON
AAPL
ABNB
ACA
ACIW
ACMR
ACN
ADBE
ADEA
ADI
ADP
AEM
AG
AGCO
AGI
ALAB
ALB
ALGM
ALV
AMAT
AMD
AME
AMKR
AMRZ
AMSC
AMTM
AMZN
ANF
AOS
APTV
AR
ARIS
ARLO
ARM
ARW
AS
ASC
ASML
ASO
ASX
ATAT
ATEN
ATO
AU
AVGO
AVNT
AVPT
AVT
AXON
AXTI
AYA
B
BABA
BG
BHP
BILI
BIRK
BKR
BKV
BLBD
BOOT
BP
BTI
BUD
BVN
BWA
BZ
CAE
CALX
CARG
CART
CASY
CAVA
CDE
CDNS
CEG
CELH
CENX
CF
CGAU
CGNX
CHD
CHKP
CHRD
CLBT
CLS
CMC
CMI
CNQ
CNX
COCO
COHR
COP
COST
CP
CPRT
CRDO
CRH
CRS
CRSR
CRUS
CRWD
CSCO
CTAS
CTSH
CTVA
CVE
CVX
CX
CXW
DAKT
DAL
DAR
DASH
DCI
DD
DDOG
DECK
DHT
DINO
DIOD
DIS
DLB
DLO
DOCU
DOLE
DOV
DOX
DRS
DSGX
DT
DTM
DUOL
DV
DVN
EDU
EGO
ELF
EMBJ
EMR
ENTG
EOG
EPAM
EQNR
EQT
EQX
ERO
ESAB
ESI
ESTC
EVER
EXE
EXK
EXLS
EXPD
EYE
FANG
FAST
FCX
FIGS
FIVE
FLYW
FN
FND
FORM
FOX
FOXA
FRO
FRPT
FRSH
FSLR
FSM
FTI
FTK
FTNT
FTV
FWONK
G
GD
GEV
GFI
GFS
GGG
GLBE
GLW
GNK
GNRC
GNTX
GOOG
GOOGL
GRMN
GTES
GWRE
HAL
HAYW
HBM
HEI
HL
HMY
HPE
HRL
HSAI
HUBS
HWM
HXL
IAG
IEX
IMAX
INFY
INGM
INOD
INSW
INTU
INVX
IOT
IPGP
IR
ITT
JBHT
JCI
JD
JHX
JKHY
KDP
KEYS
KGC
KLAC
KLIC
KMI
KMT
KN
KNX
KRP
KSPI
KTOS
KVUE
KVYO
LAUR
LBRT
LEA
LHX
LIF
LIN
LKQ
LOAR
LOGI
LPG
LRCX
LRN
LSCC
LULU
LUV
LXU
LYFT
LZB
MAMA
MAN
MANH
MCHP
MDA
MDB
MDLZ
META
MGA
MGNI
MGY
MHK
MIR
MITK
MKC
MLI
MLM
MNDY
MNST
MOD
MPWR
MQ
MRVL
MSFT
MSM
MT
MTSI
MTZ
MU
MUR
MUX
MWA
NBIS
NCNO
NEM
NESR
NFLX
NKE
NOC
NOK
NOW
NPKI
NSSC
NTCT
NTES
NTR
NUE
NVDA
NVT
NWS
NWSA
NXPI
NXT
OII
OKTA
OLLI
ONON
ONTO
OR
OSW
OVV
OXY
P
PAA
PAAS
PAGP
PAGS
PANW
PARR
PATH
PAY
PAYS
PBF
PBR
PBR.A
PCTY
PDD
PDFS
PEGA
PENG
PG
PH
PINS
PKG
PLAB
PLTR
POWL
PPC
PPG
PPLI
PR
PRDO
PRIM
PSO
PSX
PTC
PWR
Q
QCOM
QLYS
QNST
QTWO
RAMP
RBA
RDDT
RELY
REYN
RGLD
RIO
RMBS
ROKU
ROL
ROP
ROST
RPM
RRC
RRX
RSI
RTX
RVLV
RYAAY
SANM
SAP
SARO
SBLK
SBSW
SCCO
SE
SFD
SGHC
SHEL
SHOO
SHOP
SIG
SIMO
SIRI
SITE
SKHY
SKY
SLB
SM
SMCI
SMTC
SN
SNDK
SNDR
SNPS
SNX
SONO
SPOT
SQM
SRAD
SRE
SSL
SSRM
ST
STLD
STM
STNG
STRL
SU
SVM
SW
SWBI
SWK
SWKS
SYM
TAL
TCOM
TDC
TDS
TECK
TEL
TER
TEX
THO
TIMB
TK
TKO
TKR
TLK
TREX
TRI
TRMD
TS
TSEM
TSLA
TSM
TSN
TT
TTC
TTD
TTE
TTMI
TWLO
TXN
TXRH
TXT
TYL
UBER
ULTA
UMC
URBN
VALE
VICR
VIV
VLO
VMC
VNOM
VRT
VSH
WAB
WDAY
WDC
WHD
WMS
WMT
WPM
WSE
WSM
WWD
XOM
XYL
XYZ
YELP
YETI
YOU
YPF
YUMC
Z
ZBRA
ZG
ZM
ZTO
ZWS
